Country,Continent,Population,Cases,Pct Cases,Deaths,Pct Deaths
United States,North America,339996563,110462560,32.49,1191815,1.08
India,Asia,1428627663,45020333,3.15,533409,1.18
France,Europe,64756584,40138560,61.98,167642,0.42
Germany,Europe,83294633,38788696,46.57,180875,0.47
Brazil,South America,216422446,38210864,17.66,708638,1.85
South Korea,Asia,51784059,34571873,66.76,35934,0.1
Japan,Asia,123294513,33804284,27.42,74707,0.22
Italy,Europe,58870762,26671165,45.3,195139,0.73
United Kingdom,Europe,67736802,24812582,36.63,232112,0.94
Russia,Europe,144444359,23798457,16.48,401543,1.69
Turkey,Asia,85816199,17232066,20.08,102174,0.59
Spain,Europe,47519628,13914811,29.28,121760,0.88
Australia,Australia/Oceania,26439111,11766772,44.51,23881,0.2
Vietnam,Asia,98858950,11624114,11.76,43206,0.37
Taiwan,Asia,23923276,10241523,42.81,19005,0.19
Argentina,South America,45773884,10080046,22.02,130685,1.3
Netherlands,Europe,17618299,8623210,48.94,22992,0.27
Mexico,North America,128455567,7702731,6.0,334947,4.35
Iran,Asia,89172767,7625463,8.55,146757,1.92
Indonesia,Asia,277534122,6821940,2.46,161954,2.37
Poland,Europe,41026067,6643818,16.19,120352,1.81
Colombia,South America,52085168,6387632,12.26,143113,2.24
Greece,Europe,10341277,6101379,59.0,37869,0.62
Austria,Europe,8958960,6081287,67.88,22542,0.37
Portugal,Europe,10247605,5637114,55.01,27853,0.49
Ukraine,Europe,36744634,5557995,15.13,112418,2.02
Chile,South America,19629590,5335745,27.18,64497,1.21
Malaysia,Asia,34308525,5244578,15.29,37315,0.71
Canada,North America,38781291,4891249,12.61,57274,1.17
Belgium,Europe,11686140,4851453,41.51,34376,0.71
Israel,Asia,9174520,4841772,52.77,12707,0.26
North Korea,Asia,26160821,4772813,18.24,74,0.0
Thailand,Asia,71801279,4763039,6.63,34521,0.72
Czech Republic (Czechia),Europe,10495295,4752678,45.28,43423,0.91
Peru,South America,34352719,4524326,13.17,222161,4.91
Switzerland,Europe,8796669,4441768,50.49,14452,0.33
Philippines,Asia,117337368,4140383,3.53,66864,1.61
South Africa,Africa,60414495,4076463,6.75,102595,2.52
Romania,Europe,19892812,3514894,17.67,68754,1.96
Denmark,Europe,5910913,3183756,53.86,8814,0.28
Singapore,Asia,6014723,2945715,48.98,1933,0.07
